City;Tourists
Paris;15834200
Stockholm;1598133
London;19827800
Berlin;5627400
Munich;1598133
Oporto;1598133
Milan;6347900
Bratislava;1598133
Vienna;6067100
Rome;9531600
Barcelona;6530100
Madrid;5275200
Dublin;4986500
Brussels;1598133
Zurich;1598133
Warsaw;1598133
Budapest;1598133
Copenhagen;1598133
Amsterdam;7848000
Lyon;1598133
Hamburg;1598133
Lisbon;1598133
Prague;8806700
Oslo;1598133
Helsinki;1598133
Edinburgh;1598133
Geneva;1598133
Ljubljana;1598133
Athens;4794400
Luxembourg;1598133
Krakow;1598133
